"lon","lat","n"
-7.68055555566665,43.7805555556666,836611
-7.68055555566665,43.7777777778889,839851
-7.68055555566665,43.7750000001111,843091
-7.68055555566665,43.7722222223333,846331
-7.68055555566665,43.7694444445555,849571
-7.68333333344442,43.7694444445555,849570
-7.6861111112222,43.7694444445555,849569
-7.68888888899998,43.7694444445555,849568
-7.68888888899998,43.7666666667778,852808
-7.69166666677776,43.7666666667778,852807
-7.69166666677776,43.763888889,856047
-7.69166666677776,43.7611111112222,859287
-7.69444444455553,43.7611111112222,859286
-7.69444444455553,43.7583333334444,862526
-7.69444444455553,43.7555555556666,865766
-7.69444444455553,43.7527777778889,869006
-7.69444444455553,43.7500000001111,872246
-7.69722222233331,43.7500000001111,872245
-7.69722222233331,43.7472222223333,875485
-7.70000000011109,43.7472222223333,875484
-7.70000000011109,43.7444444445555,878724
-7.70277777788887,43.7444444445555,878723
-7.70555555566664,43.7444444445555,878722
-7.70833333344442,43.7444444445555,878721
-7.7111111112222,43.7444444445555,878720
-7.7111111112222,43.7416666667778,881960
-7.7111111112222,43.738888889,885200
-7.7111111112222,43.7361111112222,888440
-7.7111111112222,43.7333333334444,891680
-7.7111111112222,43.7305555556666,894920
-7.7111111112222,43.7277777778889,898160
-7.7111111112222,43.7250000001111,901400
-7.7111111112222,43.7222222223333,904640
-7.7111111112222,43.7194444445555,907880
-7.7111111112222,43.7166666667778,911120
-7.7111111112222,43.713888889,914360
-7.7111111112222,43.7111111112222,917600
-7.7111111112222,43.7083333334444,920840
-7.7111111112222,43.7055555556666,924080
-7.7111111112222,43.7027777778889,927320
-7.7111111112222,43.7000000001111,930560
-7.7111111112222,43.6972222223333,933800
-7.7111111112222,43.6944444445555,937040
-7.7111111112222,43.6916666667778,940280
-7.7111111112222,43.688888889,943520
-7.7111111112222,43.6861111112222,946760
-7.7111111112222,43.6833333334444,950000
-7.7111111112222,43.6805555556667,953240
-7.7111111112222,43.6777777778889,956480
-7.7111111112222,43.6750000001111,959720
-7.7111111112222,43.6722222223333,962960
-7.7111111112222,43.6694444445555,966200
-7.7111111112222,43.6666666667778,969440
-7.7111111112222,43.663888889,972680
-7.7111111112222,43.6611111112222,975920
-7.7111111112222,43.6583333334444,979160
-7.7111111112222,43.6555555556666,982400
-7.7111111112222,43.6527777778889,985640
-7.7111111112222,43.6500000001111,988880
-7.7111111112222,43.6472222223333,992120
-7.7111111112222,43.6444444445555,995360
-7.7111111112222,43.6416666667778,998600
-7.7111111112222,43.638888889,1001840
-7.7111111112222,43.6361111112222,1005080
-7.7111111112222,43.6333333334444,1008320
-7.7111111112222,43.6305555556666,1011560
-7.7111111112222,43.6277777778889,1014800
-7.7111111112222,43.6250000001111,1018040
-7.7111111112222,43.6222222223333,1021280
-7.7111111112222,43.6194444445555,1024520
-7.7111111112222,43.6166666667778,1027760
-7.7111111112222,43.613888889,1031000
-7.7111111112222,43.6111111112222,1034240
-7.7111111112222,43.6083333334444,1037480
-7.7111111112222,43.6055555556666,1040720
-7.7111111112222,43.6027777778889,1043960
-7.7111111112222,43.6000000001111,1047200
-7.7111111112222,43.5972222223333,1050440
-7.7111111112222,43.5944444445555,1053680
-7.7111111112222,43.5916666667778,1056920
-7.7111111112222,43.588888889,1060160
-7.7111111112222,43.5861111112222,1063400
-7.7111111112222,43.5833333334444,1066640
-7.7111111112222,43.5805555556666,1069880
-7.7111111112222,43.5777777778889,1073120
-7.7111111112222,43.5750000001111,1076360
-7.7111111112222,43.5722222223333,1079600
-7.7111111112222,43.5694444445555,1082840
-7.7111111112222,43.5666666667778,1086080
-7.7111111112222,43.563888889,1089320
-7.7111111112222,43.5611111112222,1092560
-7.7111111112222,43.5583333334444,1095800
-7.7111111112222,43.5555555556667,1099040
-7.7111111112222,43.5527777778889,1102280
-7.7111111112222,43.5500000001111,1105520
-7.7111111112222,43.5472222223333,1108760
-7.7111111112222,43.5444444445555,1112000
-7.7111111112222,43.5416666667778,1115240
-7.7111111112222,43.538888889,1118480
-7.7111111112222,43.5361111112222,1121720
-7.7111111112222,43.5333333334444,1124960
-7.7111111112222,43.5305555556666,1128200
-7.7111111112222,43.5277777778889,1131440
-7.7111111112222,43.5250000001111,1134680
-7.7111111112222,43.5222222223333,1137920
-7.7111111112222,43.5194444445555,1141160
-7.7111111112222,43.5166666667778,1144400
-7.7111111112222,43.513888889,1147640
-7.7111111112222,43.5111111112222,1150880
-7.7111111112222,43.5083333334444,1154120
-7.71388888899998,43.5083333334444,1154119
-7.71666666677776,43.5083333334444,1154118
-7.71666666677776,43.5055555556666,1157358
-7.71944444455553,43.5055555556666,1157357
-7.72222222233331,43.5055555556666,1157356
-7.72222222233331,43.5027777778889,1160596
-7.72500000011109,43.5027777778889,1160595
-7.72500000011109,43.5000000001111,1163835
-7.72777777788887,43.5000000001111,1163834
-7.72777777788887,43.4972222223333,1167074
-7.72777777788887,43.4944444445555,1170314
-7.72777777788887,43.4916666667778,1173554
-7.72777777788887,43.488888889,1176794
-7.72777777788887,43.4861111112222,1180034
-7.72777777788887,43.4833333334444,1183274
-7.72777777788887,43.4805555556666,1186514
-7.72777777788887,43.4777777778889,1189754
